Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
USD,1.0,2023-04-27T00:00:00Z,EGP,30.9518469196
USD,1.0,2023-04-27T00:00:00Z,GHS,11.8996893483
USD,1.0,2023-04-27T00:00:00Z,KES,135.7901238305
USD,1.0,2023-04-27T00:00:00Z,MAD,10.0585888512
USD,1.0,2023-04-27T00:00:00Z,NGN,463.4917770514
USD,1.0,2023-04-27T00:00:00Z,UGX,3757.757152768
USD,1.0,2023-04-27T00:00:00Z,XOF,593.8863175011
